Uniprot,Uniprot_name,Gene
P00519,ABL1_HUMAN,ABL1
P31749,AKT1_HUMAN,AKT1
Q15389,ANGP1_HUMAN,ANGPT1
P25054,APC_HUMAN,APC
P10275,ANDR_HUMAN,AR
Q13315,ATM_HUMAN,ATM
P20848,A1ATR_HUMAN,ATR
Q13535,ATR_HUMAN,ATR
Q9H6X2,ANTR1_HUMAN,ATR
P54687,BCAT1_HUMAN,BCAT1
P10415,BCL2_HUMAN,BCL2
P15056,BRAF_HUMAN,BRAF
P38398,BRCA1_HUMAN,BRCA1
P51587,BRCA2_HUMAN,BRCA2
P00918,CAH2_HUMAN,CA2
Q03135,CAV1_HUMAN,CAV1
P24864,CCNE1_HUMAN,CCNE1
P25063,CD24_HUMAN,CD24
P16070,CD44_HUMAN,CD44
P08575,PTPRC_HUMAN,CD45
Q08722,CD47_HUMAN,CD47
P12830,CADH1_HUMAN,CDH1
P11802,CDK4_HUMAN,CDK4
Q00534,CDK6_HUMAN,CDK6
Q8N726,ARF_HUMAN,CDKN2A_A
P42771,CDN2A_HUMAN,CDKN2A_C
P35222,CTNB1_HUMAN,CTNNB1
P00533,EGFR_HUMAN,EGFR
P16422,EPCAM_HUMAN,EPCAM
P04626,ERBB2_HUMAN,ERBB2
P07992,ERCC1_HUMAN,ERCC1
P03372,ESR1_HUMAN,ESR1
Q969H0,FBXW7_HUMAN,FBXW7
P11362,FGFR1_HUMAN,FGFR1
P21802,FGFR2_HUMAN,FGFR2
P23945,FSHR_HUMAN,FSHR
Q9UM11,FZR1_HUMAN,FZR1
P20823,HNF1A_HUMAN,HNF1A
P01112,RASH_HUMAN,HRAS
P08069,IGF1R_HUMAN,IGF1R
O60674,JAK2_HUMAN,JAK2
P01116,RASK_HUMAN,KRAS
Q00987,MDM2_HUMAN,MDM2
P08581,MET_HUMAN,MET
P16455,MGMT_HUMAN,MGMT
P40692,MLH1_HUMAN,MLH1
P52701,MSH6_HUMAN,MSH6
Q8WXI7,MUC16_HUMAN,MUC16
P20591,MX1_HUMAN,MX1
P21359,NF1_HUMAN,NF1
Q86YC2,PALB2_HUMAN,PALB2
Q06710,PAX8_HUMAN,PAX8
P12004,PCNA_HUMAN,PCNA
Q15116,PDCD1_HUMAN,PD1
P09619,PGFRB_HUMAN,PDGFRb
P42336,PK3CA_HUMAN,PIK3CA
P27986,P85A_HUMAN,PIK3R1
P60484,PTEN_HUMAN,PTEN
Q06124,PTN11_HUMAN,PTPN11
P06400,RB_HUMAN,RB1
P23921,RIR1_HUMAN,RRM1
P06702,S10A9_HUMAN,S100A9
Q9NWH9,SLTM_HUMAN,SLTM
Q13485,SMAD4_HUMAN,SMAD4
Q15831,STK11_HUMAN,STK11
Q02763,TIE2_HUMAN,TIE2
Q9Y490,TLN1_HUMAN,TLN1
P11388,TOP2A_HUMAN,TOP2A
P04637,P53_HUMAN,TP53
P04818,TYSY_HUMAN,TS
Q92574,TSC1_HUMAN,TSC1
P49815,TSC2_HUMAN,TSC2
Q13509,TBB3_HUMAN,TUBB3
P15692,VEGFA_HUMAN,VEGFA
P40337,VHL_HUMAN,VHL
P08670,VIME_HUMAN,VIM
Q9UID3,VPS51_HUMAN,VPS51
